Name;Street;City;Country;Cuisine Type;Service Style;Website
Baan Sukhothai;Friedrich-Ebert-Str. 5 1/2;Ausgburg;Germany;Thai;;https://www.baansukhothai.de/
Hans im Glück;Oberbürgermeister-Hohner-Straße 1b;;;USA;;https://hansimglueck-burgergrill.de/burger-restaurant/augsburg-textilviertel
Bai Tong Thai;Welfenstraße 6a;;;Thai;;
Wirtshaus am Dom;Johannisgasse 4;;;Local;;https://domwirtshaus.de/
Alte Liebe;Alpenstraße 21;;;Local;;https://alte-liebe-augsburg.de/
Wirtshaus zum Schober;;;;Local;;
Magnolia;Beim Glaspalast 1;;;Mediterranean;;https://www.magnolia-restaurant.de/
Die Ecke;Elias-Holl-Platz 2;;;Local;Fine Dining;https://www.restaurant-die-ecke.de/
Gasthaus Settele;Martinistr. 29;;;Local;Fine Dining;https://gasthaus-settele.de/
Koh Samui;Konrad-Adenauer-Allee 5;;;Thai;;
Asia City;Leonhardsberg 2;;;Asian;;https://asiacity-augsburg.de/
Sackpfeife;Bäckergasse 18;;;Local;;
Thing;Vorderer Lech 45;;;Local;;https://www.mein-thing.de/
Riegele Wirtshaus;Frölichstraße 26;;;Local;;https://www.riegele-wirtshaus.de/
Wirtshaus am Lech;Leipziger Straße 50;;;Local;;
Kappeneck;Kappeneck 30;;;Local;;https://www.das-kappeneck.de/
Joe Peña's;Müllerstraße 19;;;Mexican;;
Cafe Il Gabbiano;Maximilianstraße 31;;;Italian;;
Maximilian's;Maximilianstraße 40;;;Local;;https://www.maximilians-augsburg.de/
Pamukkale;Hunoldsgraben 28;;;Turkish;;https://www.pamukkalekebaphaus-augsburg.de/contact
Arkadas;Maximilianstraße 64;;;Turkish;;
Oskar's Tantuni Food;Löwenstr. 2;;;Turkish;;https://oskarstantunifood.eatbu.com/
Mama Soul;Barfüßerstr. 10;;;Turkish;;https://www.mama-soul-augsburg.de/
Sevil;Karrengäßchen 1;;;Turkish;;https://sevil-doener.de/6485
Efes;Bauernstr. 5;;;Turkish;;
Seval;Donauwörther Straße 34;;;Turkish;;https://seval-augsburg.xregional.de/
Ümit Döner;Äußeres Pfaffengäßchen 2;;;Turkish;;
Erciyes;Ulmerstraße 35;;;Turkish;;https://www.erciyesrestaurant.de/
Selmans Imbiss;Frölichstraße 18;;;Turkish;;
August;Johannes-Haag-Straße 14;;;Local;Fine Dining;https://restaurantaugust.de/
Sartory;Maximilianstraße 40;;;Local;Fine Dining;https://www.sartory-augsburg.de/
Nose and Belly;Heilig-Kreuz-Straße 10;;;Local;Fine Dining;https://www.noseandbelly.de/
Nine of Five;Fuggerplatz 9;;;Italian;;https://nineofive-augsburg.de/
Die Tafeldecker in der Fuggerei;Jakoberstraße 26;;;Local;;https://www.dietafeldecker.de/in-der-fuggerei/
Lustküche;Mittlerer Lech 23;;;Local;;https://www.restaurant-lustkueche.de/
Symposium;Gögginger Strasse 82;;;Greek;;https://symposium-restaurant.de/
Färberei;Färbergäßchen 5;;;Local;;
Wilde 13;Donauwörther Str. 233;;;Local;;https://www.alpenhof-hotel.de/essen/
Il Gabbiano;Maximilianstraße 31;;;Italian;;https://www.ilgabbiano-augsburg.de/
La Pizza da Roberto;Franz-Kobinger-Straße 9a;;;Italian;;https://www.ristorante-la-piazza-da-roberto.de/
La Tavernetta;Ludwigstr. 13;;;Italian;;https://www.la-tavernetta-augsburg.de/
Il Gallo Nero;Jakobsplatz 9;;;Italian;;https://www.il-gallonero-augsburg.com/
Il Quadrifoglio;Ulmer Straße 179;;;Italian;;https://www.ilquadrifoglio.de/
Il Casale Augsburg;Stadionstraße 11a;;;Italian;;https://www.ilcasale-augsburg.de/
